"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","260.70","260.60","262.60","259.60","1.53M","0.54%"
"10/19/2025","259.30","270.00","274.10","258.10","10.70M","-3.86%"
"10/12/2025","269.70","277.00","278.40","267.00","7.51M","-2.35%"
"10/05/2025","276.20","269.50","276.90","265.00","5.69M","2.37%"
"09/28/2025","269.80","273.60","274.70","268.40","5.96M","-1.17%"
"09/21/2025","273.00","269.90","273.30","266.00","6.60M","1.07%"
"09/14/2025","270.10","267.60","270.60","263.40","9.56M","0.90%"
"09/07/2025","267.70","263.10","267.70","262.10","7.00M","1.71%"
"08/31/2025","263.20","265.20","267.60","260.50","7.21M","-0.57%"
"08/24/2025","264.70","273.00","275.30","262.70","8.61M","-3.04%"
"08/17/2025","273.00","269.10","274.70","265.70","6.14M","1.45%"
"08/10/2025","269.10","266.10","271.50","264.50","7.62M","1.28%"
"08/03/2025","265.70","259.80","266.80","259.60","7.10M","3.10%"
"07/27/2025","257.70","260.10","263.50","257.70","6.97M","-0.62%"
"07/20/2025","259.30","259.00","262.50","256.60","7.02M","0.31%"
"07/13/2025","258.50","259.00","264.50","256.80","10.58M","-0.35%"
"07/06/2025","259.40","278.30","284.50","258.90","12.27M","-6.76%"
"06/29/2025","278.20","278.60","279.30","273.40","5.91M","0.51%"
"06/22/2025","276.80","275.00","277.70","270.20","9.40M","-0.04%"
"06/15/2025","276.90","279.50","283.10","270.30","21.03M","-0.54%"
"06/08/2025","278.40","277.80","280.20","276.00","5.41M","0.40%"
"06/01/2025","277.30","272.80","278.40","271.70","5.98M","1.46%"
"05/25/2025","273.30","277.70","278.90","272.70","7.93M","-0.83%"
"05/18/2025","275.60","274.00","279.50","270.80","7.93M","0.62%"
"05/11/2025","273.90","265.20","274.00","260.90","8.08M","4.03%"
"05/04/2025","263.30","262.00","272.20","260.30","8.28M","0.65%"
"04/27/2025","261.60","264.50","270.40","254.40","9.26M","-0.98%"
"04/20/2025","264.20","257.40","267.20","256.90","7.32M","1.65%"
"04/13/2025","259.90","255.00","261.60","254.00","4.71M","4.17%"
"04/06/2025","249.50","233.00","259.80","230.30","14.91M","1.13%"
"03/30/2025","246.70","274.30","278.50","245.50","12.84M","-10.84%"
"03/23/2025","276.70","273.40","279.80","272.50","8.00M","1.73%"
"03/16/2025","272.00","269.20","275.30","268.10","12.81M","1.04%"
"03/09/2025","269.20","265.80","270.50","259.50","8.28M","1.43%"
"03/02/2025","265.40","260.00","265.40","256.10","10.46M","2.47%"
"02/23/2025","259.00","251.00","259.60","250.70","11.54M","2.53%"
"02/16/2025","252.60","239.80","253.70","239.80","10.34M","5.34%"
"02/09/2025","239.80","240.00","241.40","236.80","8.50M","-0.12%"
"02/02/2025","240.10","237.80","249.60","236.60","9.53M","-0.29%"
"01/26/2025","240.80","241.00","246.00","239.60","5.60M","0.17%"
"01/19/2025","240.40","238.00","242.90","236.50","7.19M","1.09%"
"01/12/2025","237.80","229.00","238.90","228.90","6.68M","3.66%"
"01/05/2025","229.40","231.20","231.70","226.20","5.40M","-0.48%"
"12/29/2024","230.50","227.00","231.00","226.10","3.09M","1.27%"
"12/22/2024","227.60","225.20","227.60","224.40","1.44M","1.52%"
"12/15/2024","224.20","230.20","231.10","223.10","8.04M","-2.31%"
"12/08/2024","229.50","226.80","230.60","226.50","5.27M","1.19%"
"12/01/2024","226.80","230.30","233.50","225.00","6.46M","-1.69%"
"11/24/2024","230.70","230.90","232.60","227.90","7.00M","0.09%"
"11/17/2024","230.50","229.70","232.30","227.00","5.31M","-0.09%"
"11/10/2024","230.70","230.00","231.00","225.60","7.15M","0.79%"
"11/03/2024","228.90","230.90","234.20","227.80","5.77M","-0.95%"
"10/27/2024","231.10","230.60","231.10","225.60","5.73M","0.30%"
"10/20/2024","230.40","221.60","237.70","221.50","9.60M","3.83%"
"10/13/2024","221.90","220.00","223.10","219.40","7.98M","1.00%"
"10/06/2024","219.70","217.30","221.40","215.40","6.59M","1.20%"
"09/29/2024","217.10","216.40","217.10","213.00","6.60M","0.46%"
"09/22/2024","216.10","215.20","217.30","212.60","6.93M","-0.37%"
"09/15/2024","216.90","214.60","219.30","213.40","11.84M","0.65%"
"09/08/2024","215.50","215.00","218.40","211.60","6.95M","-0.05%"
"09/01/2024","215.60","224.50","224.90","214.40","6.48M","-3.79%"
"08/25/2024","224.10","223.40","225.40","222.40","","0.13%"
"08/18/2024","223.80","221.90","224.30","220.50","4.04M","0.81%"
"08/11/2024","222.00","215.30","222.10","214.40","7.84M","3.54%"
"08/04/2024","214.40","215.00","216.20","208.00","772.44K","-1.88%"
"07/28/2024","218.50","222.70","226.10","218.50","2.14M","-1.80%"
"07/21/2024","222.50","219.00","222.70","218.10","1.36M","1.69%"
"07/14/2024","218.80","218.30","219.30","214.90","915.51K","0.23%"
"07/07/2024","218.30","209.70","219.70","203.70","9.56M","4.15%"
"06/30/2024","209.60","210.90","215.10","209.60","5.92M","-0.05%"
"06/23/2024","209.70","208.60","211.50","206.20","7.17M","0.58%"
"06/16/2024","208.50","207.00","210.90","206.00","12.34M","1.36%"
"06/09/2024","205.70","202.20","206.40","200.10","7.57M","1.58%"
"06/02/2024","202.50","205.40","206.60","201.50","5.99M","-1.32%"
"05/26/2024","205.20","205.20","206.80","202.30","12.27M","-0.10%"
"05/19/2024","205.40","205.40","207.10","199.50","5.69M","0.98%"
"05/12/2024","203.40","204.10","206.70","200.50","7.08M","-0.15%"
"05/05/2024","203.70","197.00","205.10","196.75","7.06M","3.59%"
"04/28/2024","196.65","208.00","211.20","192.60","8.84M","-5.41%"
"04/21/2024","207.90","211.50","213.80","202.40","2.22M","-1.70%"
"04/14/2024","211.50","215.60","216.40","208.90","7.52M","-2.08%"
"04/07/2024","216.00","215.40","220.00","213.80","6.80M","0.23%"
"03/31/2024","215.50","216.80","217.80","212.30","6.94M","0.19%"
"03/24/2024","215.10","212.60","215.60","212.10","3.50M","1.18%"
"03/17/2024","212.60","208.50","214.00","208.00","7.20M","2.21%"
"03/10/2024","208.00","212.00","213.10","208.00","11.42M","-2.12%"
"03/03/2024","212.50","213.30","214.20","211.00","4.13M","-0.28%"
"02/25/2024","213.10","207.00","214.80","206.80","7.10M","2.80%"
"02/18/2024","207.30","207.10","208.70","204.70","6.79M","0.58%"
"02/11/2024","206.10","201.20","206.60","200.70","6.65M","2.64%"
"02/04/2024","200.80","208.70","208.70","200.10","6.75M","-3.23%"
"01/28/2024","207.50","214.80","215.20","204.50","11.02M","-3.49%"
"01/21/2024","215.00","213.20","217.70","213.20","7.43M","1.03%"
"01/14/2024","212.80","216.90","217.80","206.40","7.08M","-1.75%"
"01/07/2024","216.60","215.30","218.50","213.60","5.73M","0.51%"
"12/31/2023","215.50","214.90","216.80","211.90","6.30M","-0.23%"
"12/24/2023","216.00","211.40","216.00","211.40","2.29M","2.32%"
"12/17/2023","211.10","211.60","213.40","209.20","6.55M","0.09%"
"12/10/2023","210.90","209.70","212.30","208.60","8.65M","1.01%"
"12/03/2023","208.80","206.50","214.90","205.70","8.80M","1.11%"
"11/26/2023","206.50","206.70","207.30","203.60","7.98M","-0.29%"
"11/19/2023","207.10","203.80","207.10","202.10","5.77M","1.77%"
"11/12/2023","203.50","200.90","205.70","200.90","5.73M","1.55%"
"11/05/2023","200.40","198.50","201.80","197.00","6.84M","0.73%"
"10/29/2023","198.95","200.60","202.00","196.70","8.98M","-0.77%"
"10/22/2023","200.50","207.00","207.50","196.90","8.61M","-2.67%"
"10/15/2023","206.00","220.00","224.40","204.20","13.41M","-6.11%"
"10/08/2023","219.40","212.90","221.20","212.40","7.23M","3.30%"
"10/01/2023","212.40","216.50","216.80","209.30","7.49M","-1.48%"
"09/24/2023","215.60","217.00","218.90","214.20","8.21M","-0.92%"
"09/17/2023","217.60","219.00","220.30","216.00","7.02M","-0.68%"
"09/10/2023","219.10","210.00","219.40","209.50","11.23M","4.53%"
"09/03/2023","209.60","210.50","212.70","208.50","5.67M","-0.47%"
"08/27/2023","210.60","211.70","213.20","210.10","7.58M","0.14%"
