"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","240.00","244.90","245.20","240.00","2.37M","-2.20%"
"10/19/2025","245.40","232.40","250.60","231.30","13.14M","5.19%"
"10/12/2025","233.30","238.70","240.10","229.60","13.75M","-2.38%"
"10/05/2025","239.00","249.20","255.30","238.20","13.38M","-3.47%"
"09/28/2025","247.60","253.10","254.50","242.60","12.66M","-3.84%"
"09/21/2025","257.50","241.50","258.20","240.60","12.86M","5.84%"
"09/14/2025","243.30","240.90","245.40","237.50","17.42M","0.75%"
"09/07/2025","241.50","241.40","247.60","237.40","13.90M","0.88%"
"08/31/2025","239.40","247.30","252.40","238.60","12.46M","-3.39%"
"08/24/2025","247.80","252.10","252.80","243.00","16.56M","-2.17%"
"08/17/2025","253.30","246.00","254.80","242.80","9.12M","1.36%"
"08/10/2025","249.90","245.80","252.30","244.90","10.51M","-1.15%"
"08/03/2025","252.80","262.00","264.80","252.10","11.35M","-3.36%"
"07/27/2025","261.60","258.10","275.50","258.10","10.91M","1.55%"
"07/20/2025","257.60","263.10","264.40","254.80","10.74M","-3.01%"
"07/13/2025","265.60","273.00","276.30","262.10","9.61M","-2.67%"
"07/06/2025","272.90","260.30","272.90","257.00","11.13M","4.32%"
"06/29/2025","261.60","254.00","261.90","252.70","12.63M","2.71%"
"06/22/2025","254.70","285.00","287.30","252.30","18.70M","-9.29%"
"06/15/2025","280.80","276.00","285.90","270.80","21.73M","2.74%"
"06/08/2025","273.30","249.50","275.90","248.70","16.29M","10.92%"
"06/01/2025","246.40","240.90","248.30","240.60","14.47M","2.88%"
"05/25/2025","239.50","241.10","249.90","239.50","15.81M","-0.13%"
"05/18/2025","239.80","243.50","247.40","236.10","14.68M","-2.08%"
"05/11/2025","244.90","240.70","247.40","235.40","15.60M","2.81%"
"05/04/2025","238.20","235.00","243.90","233.00","15.44M","-0.63%"
"04/27/2025","239.70","238.40","241.50","233.10","12.89M","0.93%"
"04/20/2025","237.50","241.00","249.10","235.90","11.44M","-3.85%"
"04/13/2025","247.00","250.20","251.30","243.90","6.39M","0.90%"
"04/06/2025","244.80","241.00","256.70","233.60","19.75M","-3.11%"
"03/30/2025","252.65","275.00","282.25","252.65","15.73M","-7.66%"
"03/23/2025","273.60","271.30","276.10","267.65","9.26M","1.02%"
"03/16/2025","270.85","257.90","274.25","257.90","19.44M","5.35%"
"03/09/2025","257.10","253.80","264.90","252.70","20.60M","1.92%"
"03/02/2025","252.25","261.20","264.90","241.80","20.67M","-2.00%"
"02/23/2025","257.40","259.30","261.80","252.85","17.63M","-0.29%"
"02/16/2025","258.15","258.15","261.10","250.60","16.08M","0.17%"
"02/09/2025","257.70","267.00","281.50","253.45","25.68M","-2.46%"
"02/02/2025","264.20","272.00","282.00","259.95","29.48M","-3.45%"
"01/26/2025","273.65","267.50","275.70","264.55","13.48M","2.13%"
"01/19/2025","267.95","283.90","285.20","267.95","14.05M","-6.18%"
"01/12/2025","285.60","295.50","298.45","283.35","18.40M","-2.89%"
"01/05/2025","294.10","286.90","296.00","282.45","17.63M","3.32%"
"12/29/2024","284.65","262.50","286.15","261.70","10.74M","8.65%"
"12/22/2024","262.00","254.00","262.85","252.40","4.46M","2.97%"
"12/15/2024","254.45","256.60","257.75","249.35","18.42M","-1.20%"
"12/08/2024","257.55","264.15","268.95","256.85","14.07M","-1.02%"
"12/01/2024","260.20","266.10","274.45","260.20","12.39M","-2.62%"
"11/24/2024","267.20","274.50","276.55","265.50","15.31M","-1.94%"
"11/17/2024","272.50","259.20","279.40","256.70","18.41M","0.52%"
"11/10/2024","271.10","251.90","271.20","249.20","19.51M","8.16%"
"11/03/2024","250.65","260.00","264.45","247.25","21.71M","-3.22%"
