"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2025","239.40","237.60","240.00","237.50","300.31K","1.14%"
"10/27/2025","236.70","241.00","241.00","234.20","1.22M","-0.84%"
"10/24/2025","238.70","240.80","241.60","236.50","1.56M","0.17%"
"10/23/2025","238.30","235.00","241.70","225.40","4.00M","5.72%"
"10/22/2025","225.40","230.20","231.50","225.40","1.04M","-2.63%"
"10/21/2025","231.50","237.40","237.40","230.10","870.99K","-2.53%"
"10/20/2025","237.50","234.00","240.50","234.00","1.42M","3.13%"
"10/17/2025","230.30","230.90","232.80","225.60","1.29M","-2.12%"
"10/16/2025","235.30","229.80","235.60","229.00","1.30M","2.22%"
"10/15/2025","230.20","223.10","230.50","221.10","1.14M","4.54%"
"10/14/2025","220.20","232.00","232.00","216.90","2.28M","-5.62%"
"10/13/2025","233.30","232.00","235.90","228.60","911.72K","0.26%"
"10/10/2025","232.70","232.00","234.80","229.10","1.26M","1.17%"
"10/09/2025","230.00","220.50","230.60","220.50","2.12M","5.60%"
"10/08/2025","217.80","218.80","221.70","216.70","922.64K","0.28%"
"10/07/2025","217.20","227.50","227.60","217.20","1.10M","-4.90%"
"10/06/2025","228.40","226.00","230.00","224.10","975.51K","-0.04%"
"10/03/2025","228.50","226.00","231.10","224.40","816.80K","1.83%"
"10/02/2025","224.40","226.10","230.00","224.40","757.01K","-0.36%"
"10/01/2025","225.20","226.00","227.90","221.70","946.24K","-1.23%"
"09/30/2025","228.00","225.80","229.60","221.10","1.27M","-0.31%"
"09/29/2025","228.70","231.90","232.80","226.40","779.80K","-0.78%"
"09/26/2025","230.50","231.40","232.40","228.10","616.63K","0.22%"
"09/25/2025","230.00","236.00","236.50","230.00","823.54K","-2.54%"
"09/24/2025","236.00","238.00","238.10","235.20","797.89K","-0.42%"
"09/23/2025","237.00","230.00","237.20","228.20","1.58M","2.82%"
"09/22/2025","230.50","230.40","232.20","226.90","1.04M","0.22%"
"09/19/2025","230.00","234.10","234.80","228.70","2.09M","-0.95%"
"09/18/2025","232.20","233.00","235.40","231.40","1.18M","-1.57%"
"09/17/2025","235.90","233.60","235.90","231.50","1.14M","1.55%"
"09/16/2025","232.30","238.10","238.10","231.50","1.69M","-1.94%"
"09/15/2025","236.90","233.10","238.30","232.90","2.03M","2.60%"
"09/12/2025","230.90","227.60","233.00","226.20","2.85M","4.24%"
"09/11/2025","221.50","221.70","225.90","221.20","1.29M","-1.12%"
"09/10/2025","224.00","224.00","225.00","220.60","1.04M","0.45%"
"09/09/2025","223.00","229.80","229.80","223.00","1.70M","-2.11%"
"09/08/2025","227.80","225.00","230.90","224.70","1.86M","2.61%"
"09/05/2025","222.00","218.40","222.00","215.60","4.79M","1.83%"
"09/04/2025","218.00","218.50","218.70","212.60","1.54M","0.93%"
"09/03/2025","216.00","208.00","217.70","206.90","2.18M","5.68%"
"09/02/2025","204.40","205.00","209.60","204.30","1.23M","-1.06%"
"09/01/2025","206.60","209.90","212.70","205.00","953.50K","0.05%"
"08/29/2025","206.50","198.00","209.50","197.70","2.39M","0.10%"
"08/28/2025","206.30","207.00","209.40","205.70","869.90K","-0.10%"
"08/27/2025","206.50","204.00","207.30","203.60","680.84K","0.24%"
"08/26/2025","206.00","207.20","209.20","203.80","603.65K","-0.53%"
"08/25/2025","207.10","209.30","209.30","206.80","702.66K","-1.33%"
"08/22/2025","209.90","208.00","209.90","206.50","1.58M","3.96%"
"08/21/2025","201.90","196.05","202.10","196.05","1.09M","3.80%"
"08/20/2025","194.50","190.00","196.70","189.20","808.87K","0.70%"
"08/19/2025","193.15","194.15","195.90","193.15","1.03M","0.91%"
"08/18/2025","191.40","189.55","192.90","188.35","799.69K","1.16%"
"08/15/2025","189.20","192.00","192.85","187.55","763.29K","-1.94%"
"08/14/2025","192.95","191.55","195.40","191.50","659.03K","0.78%"
"08/13/2025","191.45","190.75","194.20","189.45","822.73K","-0.78%"
"08/12/2025","192.95","190.50","192.95","188.55","855.75K","-0.13%"
"08/11/2025","193.20","196.80","196.80","189.65","1.67M","-5.01%"
"08/08/2025","203.40","202.00","207.70","202.00","910.78K","0.05%"
"08/07/2025","203.30","202.20","206.40","201.00","1.08M","-2.02%"
"08/06/2025","207.50","209.70","212.00","206.70","1.40M","1.47%"
"08/05/2025","204.50","200.00","207.70","199.00","1.54M","2.82%"
"08/04/2025","198.90","193.00","200.10","193.00","2.04M","5.07%"
"08/01/2025","189.30","190.40","193.45","187.60","814.29K","-1.20%"
"07/31/2025","191.60","191.70","192.30","188.55","790.54K","-0.52%"
"07/30/2025","192.60","194.25","195.00","188.10","1.27M","-0.57%"
"07/29/2025","193.70","193.25","195.00","191.10","959.19K","0.44%"
"07/28/2025","192.85","190.00","194.35","189.25","1.16M","2.55%"
"07/25/2025","188.05","191.10","191.45","186.60","579.72K","-2.11%"
"07/24/2025","192.10","191.20","193.45","190.30","733.23K","0.26%"
"07/23/2025","191.60","184.90","192.10","184.85","1.03M","3.51%"
"07/22/2025","185.10","184.35","185.80","183.35","505.46K","-0.08%"
"07/21/2025","185.25","186.40","188.10","185.05","450.12K","-1.98%"
"07/18/2025","189.00","189.00","190.00","188.00","696.46K","-0.68%"
"07/17/2025","190.30","187.70","190.75","186.50","560.89K","1.41%"
"07/16/2025","187.65","188.90","190.65","187.45","644.88K","-0.35%"
"07/15/2025","188.30","186.85","188.80","186.00","556.81K","0.48%"
"07/14/2025","187.40","192.10","192.50","187.00","660.68K","-2.04%"
"07/11/2025","191.30","186.00","191.70","186.00","1.21M","3.13%"
"07/10/2025","185.50","181.80","185.60","180.00","764.70K","3.31%"
"07/09/2025","179.55","187.00","187.15","179.30","1.50M","-4.72%"
"07/08/2025","188.45","187.25","189.15","185.50","1.13M","1.07%"
"07/07/2025","186.45","181.25","187.65","180.45","1.46M","3.18%"
"07/04/2025","180.70","174.90","180.80","174.50","969.52K","3.73%"
