"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","74.85","72.20","75.25","72.10","1.04M","3.89%"
"10/19/2025","72.05","56.50","72.05","56.20","4.27M","27.07%"
"10/12/2025","56.70","58.30","58.90","56.30","977.77K","-3.32%"
"10/05/2025","58.65","59.40","60.50","58.05","1.37M","-1.26%"
"09/28/2025","59.40","59.00","60.35","57.75","1.77M","0.42%"
"09/21/2025","59.15","61.25","62.50","58.75","1.31M","-3.27%"
"09/14/2025","61.15","62.00","63.80","60.35","1.59M","-1.92%"
"09/07/2025","62.35","57.60","63.05","57.30","1.84M","7.78%"
"08/31/2025","57.85","58.50","58.60","56.10","1.96M","-0.86%"
"08/24/2025","58.35","57.30","59.10","55.75","1.59M","1.92%"
"08/17/2025","57.25","59.70","61.30","55.80","2.67M","-4.58%"
"08/10/2025","60.00","60.05","61.95","58.80","1.77M","-1.88%"
"08/03/2025","61.15","63.00","63.35","60.45","1.52M","-2.08%"
"07/27/2025","62.45","61.50","63.35","60.95","1.47M","0.81%"
"07/20/2025","61.95","66.85","66.85","60.65","1.97M","-7.05%"
"07/13/2025","66.65","60.30","68.10","60.30","4.11M","10.17%"
"07/06/2025","60.50","61.75","62.15","57.05","2.72M","-1.94%"
"06/29/2025","61.70","60.80","63.50","59.50","3.36M","2.07%"
"06/22/2025","60.45","58.45","61.85","57.40","2.79M","3.42%"
"06/15/2025","58.45","55.75","59.60","54.20","4.36M","1.83%"
"06/08/2025","57.40","57.20","58.20","55.50","4.82M","-0.43%"
"06/01/2025","57.65","59.20","60.20","56.60","4.72M","-2.29%"
"05/25/2025","59.00","57.85","59.50","56.75","3.33M","3.15%"
"05/18/2025","57.20","56.50","57.50","55.00","2.65M","1.42%"
"05/11/2025","56.40","55.35","56.65","51.50","3.07M","3.30%"
"05/04/2025","54.60","51.20","55.35","51.20","5.79M","6.54%"
"04/27/2025","51.25","49.30","52.10","48.86","2.15M","4.42%"
"04/20/2025","49.08","53.90","53.90","47.92","5.11M","-7.31%"
"04/13/2025","52.95","49.00","53.55","48.88","2.51M","9.76%"
"04/06/2025","48.24","45.00","50.95","43.00","8.41M","1.94%"
"03/30/2025","47.32","44.50","49.58","44.04","7.92M","6.96%"
"03/23/2025","44.24","46.70","46.84","44.04","2.70M","-3.99%"
"03/16/2025","46.08","46.62","49.06","45.34","7.07M","-0.35%"
"03/09/2025","46.24","48.00","48.00","44.16","7.14M","-2.12%"
"03/02/2025","47.24","40.60","47.50","40.20","11.02M","18.87%"
"02/23/2025","39.74","42.16","42.30","38.56","4.60M","-5.29%"
"02/16/2025","41.96","38.76","42.40","38.06","6.24M","9.10%"
"02/09/2025","38.46","38.42","39.14","35.60","2.99M","0.10%"
"02/02/2025","38.42","38.00","39.20","37.76","1.82M","-1.03%"
"01/26/2025","38.82","38.50","39.20","38.02","2.25M","-0.36%"
"01/19/2025","38.96","36.14","40.18","36.10","5.53M","8.28%"
"01/12/2025","35.98","36.24","36.60","35.16","2.44M","0.78%"
"01/05/2025","35.70","37.50","38.40","35.56","6.17M","-1.82%"
"12/29/2024","36.36","34.02","36.38","33.62","1.57M","6.44%"
"12/22/2024","34.16","33.30","34.70","33.30","811.11K","2.89%"
"12/15/2024","33.20","32.86","33.90","32.20","2.38M","0.61%"
"12/08/2024","33.00","32.78","33.04","30.86","3.87M","0.55%"
"12/01/2024","32.82","31.50","33.36","31.50","1.91M","4.19%"
"11/24/2024","31.50","30.20","32.12","29.78","2.40M","3.62%"
"11/17/2024","30.40","29.50","30.68","29.14","1.27M","1.81%"
"11/10/2024","29.86","29.88","30.52","29.42","1.52M","-0.27%"
"11/03/2024","29.94","30.30","31.00","29.92","1.32M","-1.51%"
