"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","106.00","106.30","106.90","105.90","822.30K","-0.38%"
"10/19/2025","106.40","105.10","106.90","105.10","3.56M","0.57%"
"10/12/2025","105.80","104.00","106.10","101.90","5.56M","1.54%"
"10/05/2025","104.20","102.60","104.20","101.80","4.54M","1.26%"
"09/28/2025","102.90","104.00","105.00","102.50","4.06M","-0.96%"
"09/21/2025","103.90","105.80","106.20","103.50","4.48M","-1.89%"
"09/14/2025","105.90","113.40","113.40","105.90","7.57M","-6.53%"
"09/07/2025","113.30","113.00","114.30","112.60","3.21M","0.00%"
"08/31/2025","113.30","112.40","114.70","111.00","3.57M","0.89%"
"08/24/2025","112.30","114.50","114.90","110.80","5.12M","-1.92%"
"08/17/2025","114.50","112.10","115.90","111.30","3.68M","2.23%"
"08/10/2025","112.00","110.50","112.70","110.50","2.96M","1.54%"
"08/03/2025","110.30","108.50","110.80","108.30","4.29M","1.85%"
"07/27/2025","108.30","108.00","109.50","106.80","3.68M","0.56%"
"07/20/2025","107.70","109.50","109.50","107.40","3.61M","-1.73%"
"07/13/2025","109.60","107.00","110.70","104.00","6.53M","2.14%"
"07/06/2025","107.30","107.70","107.80","106.10","4.79M","-0.28%"
"06/29/2025","107.60","109.30","110.00","107.10","5.08M","-1.01%"
"06/22/2025","108.70","108.20","109.40","107.00","5.46M","-0.09%"
"06/15/2025","108.80","109.90","110.00","107.00","5.81M","-1.09%"
"06/08/2025","110.00","115.50","115.50","109.30","5.46M","-4.35%"
"06/01/2025","115.00","115.50","116.00","113.80","5.09M","-0.52%"
"05/25/2025","115.60","115.10","116.60","114.90","8.18M","0.78%"
"05/18/2025","114.70","112.30","115.20","111.30","7.30M","2.59%"
"05/11/2025","111.80","111.20","112.70","106.50","8.95M","0.36%"
"05/04/2025","111.40","117.00","119.40","110.20","8.10M","-4.70%"
"04/27/2025","116.90","111.20","116.90","110.60","7.03M","5.60%"
"04/20/2025","110.70","125.00","125.40","109.60","6.53M","-8.74%"
"04/13/2025","121.30","116.40","121.30","115.90","3.29M","5.20%"
"04/06/2025","115.30","111.40","115.60","108.00","8.26M","0.96%"
"03/30/2025","114.20","113.30","117.50","112.60","7.45M","0.79%"
"03/23/2025","113.30","111.60","113.80","110.90","4.65M","1.71%"
"03/16/2025","111.40","108.70","111.40","108.40","10.33M","2.48%"
"03/09/2025","108.70","108.40","109.00","106.50","5.73M","0.28%"
"03/02/2025","108.40","108.70","110.70","106.80","6.42M","-0.28%"
"02/23/2025","108.70","107.00","109.10","106.70","7.38M","1.97%"
"02/16/2025","106.60","107.60","108.50","105.30","5.14M","-0.84%"
"02/09/2025","107.50","103.90","109.20","102.40","6.84M","3.66%"
"02/02/2025","103.70","104.20","104.50","101.70","5.16M","-1.52%"
"01/26/2025","105.30","100.70","105.50","100.10","4.72M","4.57%"
"01/19/2025","100.70","99.15","101.70","99.15","4.68M","1.31%"
"01/12/2025","99.40","100.00","100.30","98.00","5.44M","-1.00%"
"01/05/2025","100.40","98.45","102.30","96.85","4.82M","1.67%"
"12/29/2024","98.75","99.50","99.65","98.30","1.93M","-0.70%"
"12/22/2024","99.45","98.00","99.45","97.75","1.30M","1.48%"
"12/15/2024","98.00","102.20","102.20","97.40","6.31M","-4.20%"
"12/08/2024","102.30","101.60","102.50","99.50","4.30M","0.79%"
"12/01/2024","101.50","101.90","102.90","101.30","5.23M","-0.39%"
"11/24/2024","101.90","101.90","102.20","99.95","7.77M","0.30%"
"11/17/2024","101.60","98.15","101.90","96.35","5.32M","3.52%"
"11/10/2024","98.15","102.10","102.60","98.10","5.09M","-3.49%"
"11/03/2024","101.70","101.90","102.70","100.20","4.27M","-0.49%"
