"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","159.60","157.50","160.80","156.50","1.01M","2.31%"
"10/19/2025","156.00","153.20","161.20","153.00","3.81M","1.89%"
"10/12/2025","153.10","156.40","158.60","152.60","2.46M","-2.92%"
"10/05/2025","157.70","151.90","157.70","151.50","2.76M","4.23%"
"09/28/2025","151.30","151.50","154.90","150.60","2.63M","0.53%"
"09/21/2025","150.50","150.20","151.40","148.50","2.71M","0.33%"
"09/14/2025","150.00","155.00","156.80","150.00","5.70M","-2.72%"
"09/07/2025","154.20","152.80","155.90","151.80","3.32M","2.80%"
"08/31/2025","150.00","154.60","154.60","148.50","2.66M","-2.98%"
"08/24/2025","154.60","156.20","157.20","152.60","3.02M","-1.02%"
"08/17/2025","156.20","155.90","157.50","154.80","2.15M","0.26%"
"08/10/2025","155.80","150.80","156.40","150.10","2.40M","3.59%"
"08/03/2025","150.40","146.50","151.80","146.20","3.21M","3.37%"
"07/27/2025","145.50","148.70","149.60","145.10","2.84M","-1.15%"
"07/20/2025","147.20","147.70","149.10","146.00","2.10M","-0.27%"
"07/13/2025","147.60","146.00","148.30","144.60","4.16M","0.89%"
"07/06/2025","146.30","142.00","148.00","138.10","5.72M","3.25%"
"06/29/2025","141.70","142.00","144.00","140.50","2.13M","0.78%"
"06/22/2025","140.60","136.50","141.20","135.60","3.53M","2.25%"
"06/15/2025","137.50","133.70","137.50","133.30","4.26M","3.31%"
"06/08/2025","133.10","134.60","136.20","131.60","2.34M","-0.97%"
"06/01/2025","134.40","133.80","136.40","133.60","3.15M","0.52%"
"05/25/2025","133.70","133.60","134.60","132.90","2.07M","1.36%"
"05/18/2025","131.90","133.00","133.70","130.00","4.15M","-0.83%"
"05/11/2025","133.00","128.00","133.60","126.70","4.23M","4.72%"
"05/04/2025","127.00","128.30","129.00","122.70","4.78M","-1.01%"
"04/27/2025","128.30","122.50","128.40","120.60","4.18M","5.16%"
"04/20/2025","122.00","119.30","123.10","118.90","3.50M","2.87%"
"04/13/2025","118.60","120.00","121.80","118.60","1.72M","0.68%"
"04/06/2025","117.80","113.50","122.90","113.50","8.43M","-3.76%"
"03/30/2025","122.40","135.00","135.10","122.40","4.40M","-9.20%"
"03/23/2025","134.80","132.30","136.20","132.10","3.82M","1.89%"
"03/16/2025","132.30","130.40","133.20","129.70","5.10M","1.77%"
"03/09/2025","130.00","125.00","130.10","124.20","3.50M","3.92%"
"03/02/2025","125.10","122.60","125.30","121.50","3.72M","2.12%"
"02/23/2025","122.50","122.60","124.90","121.80","4.44M","-0.73%"
"02/16/2025","123.40","122.40","125.20","121.10","4.18M","0.65%"
"02/09/2025","122.60","133.50","137.10","122.30","9.68M","-8.16%"
"02/02/2025","133.50","131.00","133.60","130.70","2.15M","0.00%"
"01/26/2025","133.50","130.20","134.00","129.00","3.78M","2.53%"
"01/19/2025","130.20","125.60","130.20","123.80","3.15M","3.58%"
"01/12/2025","125.70","122.50","126.50","121.40","2.94M","2.36%"
"01/05/2025","122.80","121.50","125.00","119.40","2.75M","1.07%"
"12/29/2024","121.50","122.00","122.60","121.20","1.03M","-0.25%"
"12/22/2024","121.80","120.00","122.10","120.00","736.27K","1.50%"
"12/15/2024","120.00","122.40","122.50","119.00","3.65M","-1.96%"
"12/08/2024","122.40","123.80","124.50","120.50","2.70M","-0.89%"
"12/01/2024","123.50","121.70","125.20","121.70","2.19M","1.90%"
"11/24/2024","121.20","123.80","124.30","121.10","2.59M","-1.70%"
"11/17/2024","123.30","122.00","123.30","119.70","2.98M","1.57%"
"11/10/2024","121.40","124.30","124.70","117.60","3.99M","-1.94%"
"11/03/2024","123.80","126.30","128.80","122.90","4.31M","-2.44%"
"10/27/2024","126.90","127.20","128.80","125.00","3.48M","0.08%"
"10/20/2024","126.80","121.50","128.20","120.10","4.96M","4.36%"
"10/13/2024","121.50","119.80","124.00","119.70","3.80M","1.50%"
"10/06/2024","119.70","115.80","119.70","114.90","2.68M","3.37%"
"09/29/2024","115.80","115.50","116.80","114.90","2.61M","0.26%"
"09/22/2024","115.50","116.90","118.00","114.70","2.77M","-0.94%"
"09/15/2024","116.60","114.90","116.80","113.80","3.38M","1.39%"
"09/08/2024","115.00","114.50","116.40","114.50","2.11M","0.44%"
"09/01/2024","114.50","114.40","116.30","113.50","2.58M","0.09%"
"08/25/2024","114.40","111.80","114.40","111.60","","2.14%"
"08/18/2024","112.00","109.00","112.00","108.90","2.53M","2.56%"
"08/11/2024","109.20","106.20","109.20","105.80","3.28M","3.41%"
"08/04/2024","105.60","103.20","105.90","99.95","3.87M","0.19%"
"07/28/2024","105.40","108.30","110.00","105.00","3.76M","-2.23%"
"07/21/2024","107.80","109.60","110.30","107.30","3.46M","-1.55%"
"07/14/2024","109.50","110.70","111.90","108.70","3.03M","-1.17%"
"07/07/2024","110.80","107.80","110.90","107.40","2.95M","3.17%"
"06/30/2024","107.40","110.40","110.90","107.40","2.67M","-1.47%"
"06/23/2024","109.00","108.70","111.20","108.50","2.88M","0.37%"
"06/16/2024","108.60","108.70","110.00","107.60","4.23M","0.28%"
"06/09/2024","108.30","109.10","111.20","107.40","4.90M","-4.33%"
"06/02/2024","113.20","113.60","114.40","112.00","2.62M","-0.18%"
"05/26/2024","113.40","112.40","114.00","110.60","4.33M","1.07%"
"05/19/2024","112.20","111.40","112.20","109.30","2.32M","0.72%"
"05/12/2024","111.40","111.00","111.60","110.20","2.29M","0.27%"
"05/05/2024","111.10","106.90","111.50","106.60","3.09M","4.12%"
"04/28/2024","106.70","106.50","107.00","105.40","2.75M","0.28%"
"04/21/2024","106.40","96.80","107.20","96.70","8.02M","11.47%"
"04/14/2024","95.45","94.40","95.95","93.95","3.81M","1.06%"
"04/07/2024","94.45","95.00","95.95","93.50","4.90M","-0.37%"
"03/31/2024","94.80","99.30","101.30","94.45","3.37M","-5.20%"
"03/24/2024","100.00","99.22","100.20","98.54","1.21M","0.79%"
"03/17/2024","99.22","97.96","99.70","97.78","2.84M","1.29%"
"03/10/2024","97.96","95.72","99.16","95.72","3.94M","1.20%"
"03/03/2024","96.80","95.40","97.22","94.58","4.20M","1.47%"
"02/25/2024","95.40","95.34","96.02","94.00","3.15M","0.04%"
"02/18/2024","95.36","94.40","96.00","93.50","3.28M","1.10%"
"02/11/2024","94.32","91.76","94.52","91.76","3.22M","2.79%"
"02/04/2024","91.76","95.70","96.00","89.06","6.82M","-3.92%"
"01/28/2024","95.50","97.54","97.70","94.40","3.43M","-1.77%"
"01/21/2024","97.22","95.00","97.62","95.00","2.41M","2.79%"
